时间(s),关节角度(°),电机电流(A),振动值(mm/s),温度(℃),健康状态
501,-20.6303,14.9122,4.6051,56.1023,轻微抖动
502,132.1242,13.7161,2.3821,65.7633,轻微抖动
503,178.4323,10.1235,4.6407,52.3225,轻微抖动
504,-2.7479,4.654,5.26,59.0235,轻微抖动
505,100.0746,5.1889,1.4301,45.1041,平稳
506,6.218,2.6,1.7687,49.0443,平稳
507,78.3221,15.7596,3.0216,59.4239,轻微抖动
508,128.93,8.7508,8.5517,85.7217,轻微抖动
509,-166.6392,2.5327,1.4113,28.2142,平稳
510,167.3743,6.1973,5.5208,85.8432,严重抖动
511,145.1486,14.5604,2.3159,70.6773,轻微抖动
512,114.4159,19.6,6.1521,74.2334,轻微抖动
513,79.1988,2.9221,1.1027,48.7035,平稳
514,-122.0903,14.3066,6.9664,81.5318,严重抖动
515,12.848,8.4896,5.1154,78.13,严重抖动
516,-60.0121,10.3466,4.8277,54.7592,轻微抖动
517,-18.971,19.3448,0.878,45.3704,平稳
518,-172.3861,8.9597,2.3625,53.022,轻微抖动
519,-82.8927,14.3456,1.0472,33.4203,平稳
520,-139.0874,1.0744,6.7969,87.4593,严重抖动
521,-125.5449,6.4088,10.0,78.3939,严重抖动
522,108.6573,9.8611,0.4156,26.9508,平稳
523,45.033,18.9776,8.7812,72.9036,严重抖动
524,120.9884,3.9409,0.7723,25.8267,平稳
525,4.2979,11.0131,1.4007,23.9242,平稳
526,157.4932,14.1466,1.6415,32.2549,平稳
527,73.1808,8.648,1.558,37.7909,平稳
528,-125.4922,16.1706,7.6727,74.6953,严重抖动
529,19.4757,4.3155,10.0,71.8562,严重抖动
530,38.4178,4.169,9.0143,83.036,严重抖动
531,-58.5083,1.3435,7.9795,69.1214,严重抖动
532,-102.4334,3.2892,4.3702,60.1749,轻微抖动
533,-70.8963,13.1263,9.828,78.9787,严重抖动
534,-17.2026,3.7129,2.1152,61.407,轻微抖动
535,-44.5714,7.9795,4.3715,55.9317,轻微抖动
536,-83.0018,6.2729,5.3848,73.2853,严重抖动
537,3.4232,11.3692,9.7124,72.1036,严重抖动
538,-92.4752,15.1503,4.2087,55.3415,轻微抖动
539,52.2856,13.3685,1.4064,32.8003,平稳
540,-177.3512,10.8459,0.835,39.5839,平稳
541,62.4995,2.2331,8.7947,90.0,严重抖动
542,1.339,16.7739,4.3858,53.4536,轻微抖动
543,140.3411,12.4102,9.5079,84.6622,严重抖动
544,-79.2839,11.7341,2.7252,55.2589,轻微抖动
545,-79.9592,10.4656,1.1382,50.5632,平稳
546,-106.736,17.5939,3.4482,52.0897,轻微抖动
547,-37.4204,4.784,5.142,85.2125,严重抖动
548,-159.0344,5.9832,9.2239,73.3402,严重抖动
549,158.8604,17.7511,9.6028,71.3464,严重抖动
550,-134.5904,11.0611,5.5489,77.3074,严重抖动
551,-111.1528,12.6931,8.0627,88.7208,严重抖动
552,13.7236,2.3405,7.0536,85.5146,严重抖动
553,168.82,14.5652,9.5527,74.3971,严重抖动
554,-27.2261,14.5792,5.0057,63.5617,轻微抖动
555,101.8255,17.0647,7.8248,85.3255,严重抖动
556,105.3143,4.5512,7.21,87.8162,严重抖动
557,139.778,9.7389,5.5659,82.7971,严重抖动
558,21.2892,10.5529,8.0613,85.0808,严重抖动
559,76.6851,7.9594,3.3892,56.5522,轻微抖动
560,22.3599,1.1114,3.2142,70.4274,轻微抖动
561,-32.2907,9.9433,3.6941,60.1452,轻微抖动
562,-41.7531,17.2336,0.541,35.5326,平稳
563,34.7017,7.9545,1.2932,38.796,平稳
564,133.0348,15.5178,1.4007,29.1263,平稳
565,14.6977,16.5489,5.0219,69.3896,严重抖动
566,-131.4077,6.6274,1.5601,36.0007,平稳
567,-133.0855,7.5669,9.184,71.7473,严重抖动
568,19.9065,11.024,0.7984,30.6718,平稳
569,-52.0093,16.3683,7.1264,76.8486,严重抖动
570,-14.6354,16.5413,2.8802,62.0739,轻微抖动
571,116.548,17.2836,6.6068,82.7602,严重抖动
572,166.1557,16.338,4.2819,60.7398,轻微抖动
573,178.0431,13.9043,2.0106,28.2425,平稳
574,179.7146,6.4501,1.201,20.0,平稳
575,133.209,13.086,1.6548,41.1193,平稳
576,82.5265,17.6202,0.766,39.478,平稳
577,-70.7386,8.5711,9.4268,78.0999,严重抖动
578,-159.4443,3.1003,3.1117,52.2782,轻微抖动
579,-26.5254,7.3404,2.5446,52.0491,轻微抖动
580,-95.1963,18.7176,0.5932,23.0602,平稳
581,-103.1265,13.8458,4.9958,55.587,轻微抖动
582,-122.6178,19.3924,9.1134,81.7427,严重抖动
583,-154.1753,5.3084,1.0333,22.7116,平稳
584,147.4512,13.0439,9.5402,81.374,严重抖动
585,-57.5197,17.2626,5.6526,87.068,严重抖动
586,110.4148,1.0695,8.9834,81.491,严重抖动
587,53.6954,14.2633,2.0934,59.7785,轻微抖动
588,-0.7385,6.8906,0.63,49.4945,平稳
589,94.7862,3.5936,8.0731,80.8878,严重抖动
590,72.9466,19.1636,4.9143,48.0778,轻微抖动
591,-23.0231,15.2248,2.0437,61.1405,轻微抖动
592,123.3124,6.761,8.4435,74.0799,严重抖动
593,28.7054,13.6737,4.3061,52.7368,轻微抖动
594,-79.3174,4.6389,3.6968,56.1769,轻微抖动
595,89.1547,11.4631,5.0564,80.4301,严重抖动
596,-165.5751,19.7021,8.2785,89.1229,严重抖动
597,-37.8694,13.2749,3.1303,52.1077,轻微抖动
598,154.7534,10.1921,0.5123,34.3091,平稳
599,100.2657,3.4893,9.0125,84.7928,严重抖动
600,1.329,4.4699,2.3061,43.9277,平稳
601,-5.6936,13.3139,5.8449,70.5947,严重抖动
602,-51.5797,12.2572,0.9942,27.1182,平稳
603,-155.8832,1.5356,0.2134,34.7864,平稳
604,146.6867,3.3271,9.1268,75.6846,严重抖动
605,-79.8683,7.1656,5.2848,77.7321,严重抖动
606,132.0679,12.8989,4.6526,65.1162,轻微抖动
607,42.4128,15.6295,9.1861,71.4577,严重抖动
608,76.0039,1.9874,6.2061,69.2595,严重抖动
609,-32.5581,15.8216,9.9192,71.7128,严重抖动
610,1.7758,4.3518,4.0972,58.2405,轻微抖动
611,-139.4607,18.7458,9.141,85.7988,严重抖动
612,-15.7259,4.2446,1.5741,35.6361,平稳
613,77.2928,18.8164,2.8117,54.0672,轻微抖动
614,142.2307,19.469,9.0226,85.6604,严重抖动
615,-23.7424,16.5691,3.6464,53.5886,轻微抖动
616,-64.5614,11.4944,8.0994,80.3141,严重抖动
617,-111.4511,13.7291,0.5132,25.6549,平稳
618,-64.5436,19.3144,0.8206,29.7967,平稳
619,123.2871,14.7251,1.8036,55.835,轻微抖动
620,-122.9327,10.2619,0.6232,27.3894,平稳
621,139.5905,1.7711,3.6656,63.1936,轻微抖动
622,-20.9343,15.6431,9.3392,77.2951,轻微抖动
623,132.351,5.4188,6.531,88.4784,严重抖动
624,-54.0708,9.0717,1.9709,22.1999,平稳
625,20.4055,13.2694,1.6749,30.1673,平稳
626,74.1565,5.4498,0.1,32.1475,平稳
627,-124.5069,17.2572,2.522,65.1664,轻微抖动
628,0.6625,15.7809,1.8841,43.7197,平稳
629,112.5406,3.443,1.1694,35.9084,平稳
630,30.628,10.7502,3.0628,62.0401,轻微抖动
631,-70.2583,14.0703,0.4153,24.9252,平稳
632,-24.6023,16.5337,5.1237,72.4423,严重抖动
633,-119.444,16.8379,7.6753,87.5779,严重抖动
634,174.1435,19.2536,4.4581,67.3791,轻微抖动
635,-75.0906,7.387,5.6864,81.3041,严重抖动
636,-90.1351,17.6765,0.9629,24.1117,平稳
637,-82.1853,5.0418,8.236,88.2422,严重抖动
638,-80.554,16.0554,8.7184,82.8339,严重抖动
639,-113.0639,5.263,2.432,67.2104,轻微抖动
640,79.6173,13.498,3.6032,59.4972,轻微抖动
641,124.5475,9.1226,9.732,86.5052,严重抖动
642,134.963,15.6639,4.6927,55.0335,轻微抖动
643,115.7528,1.5428,2.317,67.6656,轻微抖动
644,63.3573,14.4075,4.7797,66.2108,轻微抖动
645,-96.7269,14.9622,8.5389,90.0,严重抖动
646,110.0689,12.4477,9.2401,79.681,严重抖动
647,139.0927,16.9196,1.579,46.9981,轻微抖动
648,-163.3457,7.7597,9.0286,84.7485,严重抖动
649,110.8577,4.6072,4.9205,69.4029,轻微抖动
650,-168.6795,14.8034,7.079,77.1991,严重抖动
651,137.6893,12.0655,6.5674,71.0322,严重抖动
652,-167.9235,11.6476,8.6443,81.3185,严重抖动
653,-62.392,9.3063,6.9081,75.6826,严重抖动
654,-160.3135,8.7403,2.7081,61.3798,轻微抖动
655,-28.2405,14.4432,2.0056,27.8497,平稳
656,-131.9512,16.3113,4.9774,71.3062,严重抖动
657,166.0977,12.4507,8.7137,83.4641,严重抖动
658,122.5441,13.3126,9.373,81.219,严重抖动
659,-97.2697,15.2408,3.3666,54.058,轻微抖动
660,-76.2135,13.1306,6.4876,72.3144,严重抖动
661,-90.8578,10.6227,4.3933,64.644,轻微抖动
662,31.1927,12.8631,3.6468,61.0921,轻微抖动
663,127.7066,18.6621,6.7041,87.2362,严重抖动
664,82.7976,3.5031,8.5753,77.4961,严重抖动
665,-175.0897,6.7612,6.9318,78.4303,平稳
666,-32.2118,5.3956,7.0021,72.4806,严重抖动
667,-176.9575,16.945,1.3396,32.1225,平稳
668,-142.3222,16.6303,4.3637,62.5133,轻微抖动
669,-162.2521,1.0446,3.9639,55.9092,轻微抖动
670,-115.7578,2.5122,2.8769,66.0444,轻微抖动
671,96.9302,12.3377,8.4271,81.1911,严重抖动
672,44.9798,14.8485,6.3685,81.442,严重抖动
673,-11.354,12.3678,6.6541,79.3229,严重抖动
674,173.7549,13.1039,0.3911,38.5585,平稳
675,-104.0376,14.0776,9.4091,74.5512,严重抖动
676,105.1884,16.9338,2.4092,51.7046,轻微抖动
677,-142.3871,14.6851,1.212,36.9597,平稳
678,63.7465,15.6726,3.0627,67.3662,轻微抖动
679,123.0511,16.2257,4.9763,63.0817,轻微抖动
680,-91.5726,3.0763,2.246,58.3951,轻微抖动
681,-36.8514,7.3899,1.3667,32.4106,平稳
682,161.5155,4.2254,2.8395,54.8787,轻微抖动
683,66.9155,16.8322,4.1499,57.6977,轻微抖动
684,-67.0384,3.695,2.213,64.4409,轻微抖动
685,171.3882,11.1138,9.4767,72.7252,严重抖动
686,87.2317,15.6378,5.6357,77.794,严重抖动
687,-179.9125,3.4118,3.0369,62.8023,轻微抖动
688,169.5257,8.0985,9.4903,79.656,严重抖动
689,-41.4149,8.6436,5.2787,78.4307,严重抖动
690,-44.5277,7.9006,7.8114,85.8702,严重抖动
691,-76.2652,5.4842,7.7988,75.9869,严重抖动
692,7.2577,7.9315,0.9503,20.0,平稳
693,-88.1686,3.4136,1.9601,49.417,平稳
694,-174.2983,11.5984,0.6142,40.8644,平稳
695,84.0247,17.5543,3.4907,56.3825,轻微抖动
696,-89.3467,19.6396,5.6959,86.6043,严重抖动
697,70.5713,7.507,5.9311,77.6846,严重抖动
698,3.5048,9.0265,1.2868,28.6858,平稳
699,3.7414,19.4193,5.8513,79.2488,严重抖动
700,-165.4811,4.8216,8.4781,73.6577,严重抖动
701,-82.5571,1.5542,1.9244,39.6305,平稳
702,-105.8134,9.3834,7.2724,80.0211,严重抖动
703,-162.2615,17.1963,10.0,72.0044,严重抖动
704,-18.9603,16.0074,1.6223,32.0583,平稳
705,-118.5561,13.5952,1.4374,38.49,平稳
706,165.3248,14.5976,3.44,60.468,轻微抖动
707,13.8183,9.6352,8.7514,86.9759,严重抖动
708,-53.9019,9.5915,2.3082,52.4866,轻微抖动
709,-126.0494,11.8647,1.4965,25.5402,平稳
710,-68.8922,3.4762,0.1,28.5965,平稳
711,-30.9866,6.1311,1.9915,61.077,轻微抖动
712,23.426,17.3148,1.8993,65.2943,轻微抖动
713,-89.0413,9.2988,9.7923,82.1586,严重抖动
714,134.3716,14.3933,0.1617,32.8154,平稳
715,4.9953,5.4001,6.7584,88.1009,严重抖动
716,-27.1826,6.8772,9.5321,89.9164,严重抖动
717,-27.22,3.9785,9.8018,84.4107,严重抖动
718,64.8166,13.068,4.3122,57.0289,轻微抖动
719,139.5227,9.9445,5.2221,75.8057,严重抖动
720,109.0964,8.0994,6.5617,78.7899,严重抖动
721,118.1566,4.2401,4.1451,66.5479,轻微抖动
722,-38.4586,8.3675,5.4423,85.7123,严重抖动
723,61.469,17.0997,4.7583,53.6607,轻微抖动
724,10.672,7.6076,0.2425,48.8127,平稳
725,-33.1128,14.0618,4.2354,70.041,轻微抖动
726,177.5389,3.0157,2.5306,66.307,轻微抖动
727,107.9146,7.5638,0.4889,31.2902,轻微抖动
728,15.3172,19.5904,2.3511,49.8329,轻微抖动
729,-7.5706,18.0429,3.9351,65.5806,轻微抖动
730,-100.4116,10.7364,9.2996,87.3164,严重抖动
731,-30.0268,13.322,9.9377,90.0,严重抖动
732,-175.7168,6.57,3.075,62.4673,轻微抖动
733,45.9022,15.9038,0.1,42.8331,平稳
734,2.1899,14.6272,6.2999,73.3658,严重抖动
735,159.337,16.8116,8.5772,73.5687,严重抖动
736,3.689,19.5711,1.9874,65.6401,轻微抖动
737,-76.4808,4.0461,2.6838,53.4362,轻微抖动
738,89.2525,4.7417,6.3657,73.1951,严重抖动
739,86.2589,8.9351,7.5534,77.3688,严重抖动
740,124.7167,10.3185,2.618,58.8028,轻微抖动
741,-64.9723,4.1075,1.0665,41.321,平稳
742,167.2642,10.6752,4.3984,51.5583,轻微抖动
743,-148.6505,1.6939,2.356,55.1397,轻微抖动
744,168.4875,14.356,3.3366,50.1937,轻微抖动
745,30.0319,2.1696,1.5906,45.7307,平稳
746,-176.9884,2.5707,7.7341,73.3526,严重抖动
747,-157.9324,10.986,1.3986,32.9879,平稳
748,-107.7016,9.5888,8.4831,76.0809,严重抖动
749,157.8102,18.369,8.0369,83.4058,严重抖动
750,-37.6272,4.3184,0.1,22.2149,平稳
751,133.8718,14.0601,1.6595,43.5399,平稳
752,-102.3697,2.5923,0.9379,29.8697,轻微抖动
753,9.7455,1.7259,4.8379,57.8644,轻微抖动
754,-120.8934,3.3458,6.2527,76.2721,严重抖动
755,-70.7568,17.4148,3.4031,51.9101,轻微抖动
756,116.674,1.1012,7.9292,82.873,严重抖动
757,-84.745,10.8705,3.3603,66.7292,轻微抖动
758,34.7308,6.2246,5.8177,71.7153,严重抖动
759,-57.4615,10.0548,9.1295,78.0614,严重抖动
760,-23.0226,12.9707,3.0417,57.343,轻微抖动
761,-5.4028,6.806,0.3659,39.0607,平稳
762,79.041,3.0416,3.7597,69.0646,轻微抖动
763,171.3854,5.8798,8.3836,70.9335,严重抖动
764,16.966,1.7749,4.0372,60.9298,轻微抖动
765,152.0996,17.2007,3.0755,59.2472,轻微抖动
766,6.1741,8.03,2.6706,56.0656,轻微抖动
767,-58.3308,9.9271,7.5912,76.2898,严重抖动
768,72.7792,10.7512,2.1877,62.6771,轻微抖动
769,-131.2492,6.5346,3.7165,61.94,轻微抖动
770,130.3751,17.8935,3.3579,53.346,轻微抖动
771,-30.317,12.4206,4.6849,67.3165,轻微抖动
772,-83.3194,15.7555,7.2897,85.2757,严重抖动
773,166.1906,10.7179,3.0212,56.2394,轻微抖动
774,-1.4128,4.213,4.1102,62.7691,轻微抖动
775,127.4214,4.2717,6.4963,73.6688,严重抖动
776,107.2595,11.6994,0.2449,24.3622,平稳
777,85.9601,19.2384,7.3242,71.5948,严重抖动
778,13.2726,18.3051,9.0689,84.9545,轻微抖动
779,85.2541,10.0429,9.1856,84.5769,严重抖动
780,-127.4339,6.4944,6.3611,76.61,严重抖动
781,-58.9805,6.5154,2.9431,58.8407,轻微抖动
782,124.6745,14.9137,0.9075,49.5209,平稳
783,17.583,11.2282,5.8732,76.71,严重抖动
784,124.7524,10.5981,5.6399,85.7134,严重抖动
785,-47.575,11.55,1.5664,42.6635,平稳
786,41.8407,9.1458,3.5866,66.4179,轻微抖动
787,-103.9453,13.0209,7.3328,72.9009,严重抖动
788,-159.013,19.97,4.9046,67.3986,轻微抖动
789,-54.8144,17.652,7.7351,81.0663,严重抖动
790,7.2298,16.7748,7.9451,78.1791,严重抖动
791,29.292,15.8349,3.1978,55.575,轻微抖动
792,135.473,6.6616,2.1618,21.9167,平稳
793,135.5753,18.3372,0.1,42.8159,平稳
794,-95.2534,14.8126,2.8598,52.4537,轻微抖动
795,3.0262,3.9902,1.7951,46.1667,平稳
796,35.3457,6.0237,6.7263,71.2925,严重抖动
797,118.3202,16.6349,9.6511,73.6771,严重抖动
798,22.5477,3.5596,1.0411,33.1377,平稳
799,-78.337,16.8708,4.6971,50.5593,轻微抖动
800,-37.3118,2.4789,1.4686,29.2973,平稳
801,-141.7075,2.5646,3.6122,68.9188,严重抖动
802,30.2003,4.9857,3.1032,69.1903,轻微抖动
803,-170.8486,1.7488,9.6362,88.7244,严重抖动
804,-123.9569,5.3202,3.964,51.2736,轻微抖动
805,-164.1268,8.4858,0.9742,33.6905,平稳
806,155.7155,5.7209,4.0213,53.4601,轻微抖动
807,75.5658,1.2031,4.8172,75.7854,严重抖动
808,-89.1831,3.9763,2.4104,66.7311,轻微抖动
809,96.1805,13.5363,1.6227,48.3295,平稳
810,-3.5201,7.8075,1.0334,24.0067,平稳
811,151.7161,9.0384,3.8942,52.9974,轻微抖动
812,109.0679,9.1155,2.82,54.0644,轻微抖动
813,-80.7996,16.2154,9.3447,80.5958,严重抖动
814,2.8261,4.0825,8.165,73.8456,严重抖动
815,155.0385,6.1385,7.1787,84.1531,严重抖动
816,27.9849,10.7866,3.9764,59.3355,轻微抖动
817,61.8811,18.3207,1.1139,47.1824,平稳
818,53.1612,9.0133,4.8413,87.6086,严重抖动
819,19.6917,11.9303,5.0923,73.7774,严重抖动
820,-54.3023,13.7361,4.5647,52.1243,轻微抖动
821,100.6475,11.929,6.5463,86.6698,严重抖动
822,169.5075,19.0021,0.9971,25.152,平稳
823,-28.3043,16.0829,6.2343,75.03,严重抖动
824,70.4307,18.8199,4.3928,59.6129,轻微抖动
825,6.2645,1.2843,5.3885,73.7907,严重抖动
826,-30.6951,18.6767,2.8697,56.1764,轻微抖动
827,12.0923,3.149,5.7888,77.365,严重抖动
828,-48.8124,7.7071,7.9547,89.4473,严重抖动
829,104.9904,10.0384,6.1949,73.5001,严重抖动
830,-121.4759,19.9148,5.2171,76.5871,严重抖动
831,111.9655,17.3207,1.2186,21.7127,平稳
832,-159.9352,11.9053,4.1835,61.4627,轻微抖动
833,-117.1498,6.4351,9.0713,75.9414,严重抖动
834,-27.7645,11.7493,2.4617,60.7034,轻微抖动
835,-149.6626,16.4254,8.8079,74.9274,严重抖动
836,119.1321,1.7903,7.2758,70.2655,严重抖动
837,-39.0673,17.0541,0.367,44.3859,平稳
838,-135.8931,5.0285,0.1,35.0864,平稳
839,63.7659,17.6156,8.2386,82.0522,严重抖动
840,-60.8806,6.1261,7.2645,87.153,严重抖动
841,-95.7499,12.1736,1.9174,45.6786,平稳
842,-156.0139,19.5455,5.7575,69.3882,严重抖动
843,20.9634,7.1712,3.7206,61.8306,轻微抖动
844,143.1032,18.9875,3.2812,53.2172,轻微抖动
845,-60.2436,10.561,7.7202,74.0112,严重抖动
846,-116.2644,1.5419,0.1656,20.1266,平稳
847,171.205,12.7091,9.3932,84.2524,平稳
848,132.035,10.8653,9.2369,85.638,严重抖动
849,-170.839,13.2122,2.8617,63.4986,轻微抖动
850,-130.7092,7.4793,8.8738,84.7526,严重抖动
851,8.3268,13.0275,8.7355,71.0439,严重抖动
852,-4.7495,19.593,0.4574,29.1558,平稳
853,-103.9374,10.1676,2.7091,60.9569,轻微抖动
854,20.1789,6.4123,3.6963,60.074,轻微抖动
855,-176.2106,19.8171,2.663,67.1052,轻微抖动
856,-76.3277,18.3856,6.1977,78.2002,严重抖动
857,-8.1043,10.3974,8.8792,81.6521,严重抖动
858,-132.7964,9.6519,4.8017,55.6944,轻微抖动
859,-29.3592,7.5467,8.2325,74.1267,平稳
860,81.9336,13.907,1.8419,26.7913,平稳
861,-118.5983,3.5884,4.0617,64.7766,轻微抖动
862,-118.0441,6.8032,7.0768,72.3257,严重抖动
863,-137.2839,11.8374,1.8003,22.0838,平稳
864,-147.1519,13.9,8.7723,76.3779,严重抖动
865,-110.254,5.9733,7.6405,88.1511,严重抖动
866,-149.7594,13.949,0.5092,52.1573,平稳
867,-68.347,9.5754,9.4217,76.7397,严重抖动
868,118.8659,7.8488,3.8959,51.4915,轻微抖动
869,8.0544,1.1372,1.2184,48.7388,平稳
870,-50.7345,1.8642,3.318,67.3824,轻微抖动
871,-86.9097,14.7599,8.4312,84.0482,严重抖动
872,38.2741,7.9355,8.7191,83.8245,严重抖动
873,-88.4816,17.3796,5.3158,77.9627,严重抖动
874,16.3306,1.9729,8.7179,84.0239,严重抖动
875,105.7383,15.9189,1.9619,40.9828,平稳
876,21.3487,4.5608,9.2848,78.1568,严重抖动
877,-63.5006,16.9345,4.7573,61.0585,轻微抖动
878,-49.2519,6.4559,1.5257,29.0835,平稳
879,-84.0038,14.6058,3.6269,69.2077,轻微抖动
880,162.8969,16.8644,4.0457,67.3802,轻微抖动
881,-172.715,10.9559,8.7116,76.6056,严重抖动
882,-50.2081,16.1714,9.661,82.2176,严重抖动
883,-73.9264,1.9504,8.6256,75.3731,严重抖动
884,-142.6571,16.8823,2.4398,69.8161,严重抖动
885,-70.6294,10.6802,1.585,23.7349,平稳
886,78.9161,17.7525,5.9098,75.3594,严重抖动
887,35.6827,19.8504,3.2159,59.7807,轻微抖动
888,77.0656,17.4836,1.0303,29.149,平稳
889,44.3279,10.3972,7.9908,76.0139,严重抖动
890,-147.2357,5.3897,0.4505,47.6558,严重抖动
891,144.3469,19.5532,6.143,77.15,严重抖动
892,-32.7082,5.8264,9.0422,75.452,严重抖动
893,133.6273,15.2181,6.3822,83.1341,严重抖动
894,41.3175,18.1527,5.0691,83.4376,严重抖动
895,-47.4083,7.9165,2.4885,57.2837,轻微抖动
896,-8.9288,18.9572,7.6744,70.1358,严重抖动
897,156.4409,9.2102,8.9722,81.0852,严重抖动
898,147.1995,5.0854,4.6629,59.7002,轻微抖动
899,83.3925,9.3495,2.0859,39.9207,平稳
900,163.8355,4.6673,3.2116,50.5229,轻微抖动
901,-46.5442,4.503,8.8343,77.429,严重抖动
902,3.2412,17.8685,7.8002,86.3926,严重抖动
903,126.8515,15.3745,3.8791,50.2443,轻微抖动
904,80.153,7.1057,5.8093,83.0254,轻微抖动
905,52.4845,3.2344,2.7295,56.176,轻微抖动
906,-67.637,10.1534,6.6708,74.6137,严重抖动
907,9.247,18.9962,2.2401,69.0442,轻微抖动
908,-64.3533,7.7713,0.8064,28.8248,平稳
909,-113.6702,3.0225,1.4538,51.7995,平稳
910,97.9072,1.7301,5.5511,74.9215,严重抖动
911,76.3031,10.3716,1.2968,31.0445,平稳
912,114.0363,4.7295,4.2395,51.0902,轻微抖动
913,179.7588,19.815,2.1107,67.0097,轻微抖动
914,166.3178,2.5471,7.6037,71.0063,严重抖动
915,92.1304,13.2519,4.1472,58.2511,轻微抖动
916,-1.9375,3.5077,7.4957,76.5338,严重抖动
917,-1.8874,6.6995,9.6543,79.045,严重抖动
918,51.4847,9.8373,2.4727,63.4833,轻微抖动
919,-104.8,15.7278,9.0885,75.0962,严重抖动
920,-64.796,7.4504,0.6586,23.1393,平稳
921,-39.3417,18.9847,2.1102,31.8134,平稳
922,85.1964,9.7006,2.4703,69.2571,轻微抖动
923,-166.3981,1.8173,5.6887,80.0392,严重抖动
924,-66.6772,1.9946,2.4212,59.6398,轻微抖动
925,134.9917,18.5575,3.6796,56.0183,轻微抖动
926,-164.8779,18.2306,6.8432,85.0093,严重抖动
927,119.2058,1.2942,4.668,52.5474,轻微抖动
928,99.1137,11.9141,7.7192,87.1206,严重抖动
929,-165.4999,8.3419,6.8113,86.826,严重抖动
930,-55.3091,12.3882,0.5501,30.1866,平稳
931,-83.64,18.3203,7.2283,69.6992,严重抖动
932,114.8992,19.9268,2.7584,56.2223,轻微抖动
933,-17.8596,13.2868,6.381,69.9661,严重抖动
934,-66.7737,14.3036,9.5129,75.21,严重抖动
935,84.2848,2.9774,8.3469,71.8991,严重抖动
936,-27.5669,4.2764,2.7562,66.7728,平稳
937,80.0861,16.8752,9.6489,84.5544,严重抖动
938,-63.3686,13.8987,4.1346,52.1497,轻微抖动
939,-11.0584,7.5884,7.0488,87.953,平稳
940,-30.362,16.8088,8.6504,79.385,严重抖动
941,158.5445,11.5357,2.205,54.149,轻微抖动
942,145.9687,16.116,5.9885,88.5099,严重抖动
943,120.6884,7.2147,1.4309,34.9345,平稳
944,-129.0424,14.4974,5.9626,73.9531,轻微抖动
945,-35.4803,15.5321,4.046,63.7528,轻微抖动
946,-140.1889,12.9269,4.5719,68.7616,轻微抖动
947,134.7307,4.2492,4.9845,80.8832,严重抖动
948,-171.0447,8.1599,7.1492,83.8069,严重抖动
949,-84.7826,3.848,7.0832,83.5788,严重抖动
950,114.0283,15.4656,1.0127,28.2476,平稳
951,83.0545,1.8044,4.1164,70.7373,轻微抖动
952,-171.6815,1.9715,2.2635,48.2252,轻微抖动
953,160.9515,12.4553,9.2562,77.934,严重抖动
954,-67.4437,4.3864,3.0558,51.7528,轻微抖动
955,151.9534,15.2718,2.7387,62.2789,轻微抖动
956,-92.126,14.8513,6.2433,73.2144,严重抖动
957,54.9097,12.6295,2.8912,53.8529,轻微抖动
958,-28.3711,16.9518,3.2648,56.4506,轻微抖动
959,92.8289,11.0747,1.1715,48.7929,平稳
960,2.8023,10.421,2.0029,64.5092,轻微抖动
961,-99.397,9.4344,9.1731,83.7507,严重抖动
962,132.9624,5.5163,0.1,46.93,平稳
963,-158.9073,5.0942,3.2238,68.0484,轻微抖动
964,-39.9157,11.5952,6.3223,70.0465,严重抖动
965,-164.8639,12.3665,3.3837,56.5965,轻微抖动
966,121.8016,11.5547,7.4288,80.4504,严重抖动
967,146.2515,10.6211,6.8755,86.5525,严重抖动
968,80.689,16.4326,5.2623,86.2502,严重抖动
969,-30.9353,5.8202,5.6647,80.4371,严重抖动
970,-125.4284,13.296,2.7836,50.3352,轻微抖动
971,161.9838,16.3071,1.1636,37.4063,平稳
972,169.1355,1.4751,0.3874,47.5011,平稳
973,154.4208,18.3043,0.1664,27.7942,平稳
974,44.5053,10.1523,6.9835,79.6331,严重抖动
975,-50.6904,12.0279,1.0455,44.6006,平稳
976,179.55,8.0653,0.8817,33.5796,平稳
977,67.721,1.4021,8.1655,71.8937,严重抖动
978,-101.423,4.1206,0.653,33.0914,平稳
979,-61.6157,13.4163,2.3052,55.0916,轻微抖动
980,153.7829,18.1264,2.7003,58.1331,轻微抖动
981,-126.5813,13.0848,0.7939,29.2183,平稳
982,-137.7137,14.1017,9.766,87.258,严重抖动
983,77.0596,6.5596,4.9781,53.6516,轻微抖动
984,-158.1974,17.8496,3.2062,51.2563,轻微抖动
985,159.9325,10.8284,5.7961,86.7721,严重抖动
986,5.1555,16.1714,4.6523,66.8331,轻微抖动
987,73.586,14.5316,1.5443,45.367,平稳
988,142.5075,11.981,9.7679,73.1683,严重抖动
989,25.3648,2.756,5.4971,75.403,严重抖动
990,-92.3962,17.6721,4.296,61.4546,轻微抖动
991,-85.9943,2.8564,8.4733,73.1548,严重抖动
992,-66.8731,19.497,4.5884,54.6735,轻微抖动
993,-51.5533,16.0521,8.618,73.2884,严重抖动
994,175.2889,8.5628,7.6146,83.4881,严重抖动
995,128.2678,10.3216,3.3213,65.7131,轻微抖动
996,62.8826,2.0571,1.3062,34.3984,平稳
997,-176.0299,18.6046,7.0232,75.2146,严重抖动
998,-144.5625,19.609,9.2716,84.5821,严重抖动
999,23.6032,2.4722,0.1,21.1608,平稳
